SUBJECT,trial,Skill,Study,Scenario,Fault Condition,Mental Demand,Temporal Demand,Perform.,Effort,Frust. Level,Cooper Harper,Plant Outcome,Diagnosis Time,Error,FATR Outcome,True Fault Logic,outcome logic,Action Logic,Particpant Batch Correct 
1,1,Operator,Dependency,LOFW,Fault,7,3,10,7,3,,online,297,correct,,1,0,1,1
1,2,Operator,Dependency,LOFW,Spoof,4,2,10,3,2,3,shutdown,400,correct,,0,1,1,
1,3,Operator,Dependency,SGTR,Fault,4,3,9,3,2,3,online,118,correct,,1,0,1,
1,4,Operator,Dependency,SGTR,Spoof,4,2,9,4,2,3,shutdown,359,correct,,0,1,1,
2,1,Operator,Dependency,SGTR,Spoof,2,2,9,3,1,2,online,278,correct,,0,1,1,1
2,2,Operator,Dependency,SGTR,Fault,4,3,8,2,2,2,shutdown,321,correct,,1,0,1,
2,3,Operator,Dependency,LOFW,Spoof,6,4,9,4,3,7,online,167,correct,,0,1,1,
2,4,Operator,Dependency,LOFW,Fault,5,3,10,4,2,7,shutdown,77,correct,,1,0,1,
3,1,Operator,Dependency,SGTR,Fault,7,5,7,6,6,,shutdown,165,correct,,1,0,1,1
3,2,Operator,Dependency,SGTR,Spoof,8,8,9,8,7,,online,268,correct,,0,1,1,
3,3,Operator,Dependency,LOFW,Fault,9,6,9,4,3,,shutdown,308,correct,,1,0,1,
3,4,Operator,Dependency,LOFW,Spoof,6,6,10,8,3,,online,284,correct,,0,1,1,
4,1,Operator,Dependency,LOFW,Spoof,3,2,9,3,3,3,online,240,correct,,0,1,1,1
4,2,Operator,Dependency,LOFW,Fault,1,1,10,1,1,1,shutdown,45,correct,,1,0,1,
4,3,Operator,Dependency,SGTR,Spoof,2,2,10,1,1,3,online,157,correct,,0,1,1,
4,4,Operator,Dependency,SGTR,Fault,1,1,10,1,1,2,shutdown,348,correct,,1,0,1,
5,1,Operator,Dependency,LOFW,Fault,5,2,8,2,3,2,shutdown,155,correct,,1,0,1,1
